True_label	Pred_label	Err_count	Err_ratio
乐	好	22	0.7096774193548387
哀	好	18	0.45
好	恶	15	0.3409090909090909
哀	恶	15	0.375
恶	好	13	0.37142857142857144
好	乐	13	0.29545454545454547
好	哀	11	0.25
惧	恶	8	0.5333333333333333
恶	哀	8	0.22857142857142856
惊	好	7	1.0
恶	怒	5	0.14285714285714285
乐	哀	5	0.16129032258064516
哀	乐	5	0.125
怒	好	4	0.3076923076923077
怒	恶	4	0.3076923076923077
恶	惧	4	0.11428571428571428
惧	哀	4	0.26666666666666666
怒	哀	3	0.23076923076923078
好	怒	3	0.06818181818181818
乐	恶	3	0.0967741935483871
恶	乐	3	0.08571428571428572
好	惧	2	0.045454545454545456
恶	惊	2	0.05714285714285714
惧	好	2	0.13333333333333333
哀	惧	2	0.05
怒	惧	2	0.15384615384615385
惧	怒	1	0.06666666666666667
乐	惊	1	0.03225806451612903

True_label	Err_count	All_count	Accuracy
好	44	141	0.6879432624113475
哀	40	65	0.3846153846153846
恶	35	75	0.5333333333333333
乐	31	42	0.26190476190476186
惧	15	19	0.21052631578947367
怒	13	14	0.0714285714285714
惊	7	7	0.0

Overall Accuracy:	0.49873472622931825
